  Activating project at `~/EBM-meets-falcon/experiments`
   Resolving package versions...
  No Changes to `~/EBM-meets-falcon/experiments/Project.toml`
  No Changes to `~/EBM-meets-falcon/experiments/Manifest.toml`
   Resolving package versions...
  No Changes to `~/EBM-meets-falcon/experiments/Project.toml`
  No Changes to `~/EBM-meets-falcon/experiments/Manifest.toml`
┌ Info: Device
└   cuda_functional = true
i=50  total=3.64123  map=0.47531  lag=3.16592
i=100  total=2.36838  map=0.34447  lag=2.02391
i=150  total=1.83097  map=0.30083  lag=1.53014
i=200  total=1.84524  map=0.28455  lag=1.56069
i=250  total=1.74466  map=0.2935  lag=1.45116
i=300  total=1.86292  map=0.35394  lag=1.50898
i=350  total=1.72923  map=0.24402  lag=1.48521
i=400  total=1.68787  map=0.33414  lag=1.35373
i=450  total=1.4766  map=0.26771  lag=1.20889
i=500  total=1.64679  map=0.3329  lag=1.31388
i=550  total=1.34712  map=0.21804  lag=1.12908
i=600  total=1.59402  map=0.30017  lag=1.29385
i=650  total=1.45102  map=0.31803  lag=1.13299
i=700  total=1.54321  map=0.29827  lag=1.24494
i=750  total=1.43007  map=0.25507  lag=1.17499
i=800  total=1.46647  map=0.27831  lag=1.18816
i=850  total=1.56599  map=0.25994  lag=1.30606
i=900  total=1.56784  map=0.3121  lag=1.25574
i=950  total=1.49355  map=0.27975  lag=1.2138
i=1000  total=1.46941  map=0.21658  lag=1.25282
i=1050  total=1.3037  map=0.24806  lag=1.05564
i=1100  total=1.30871  map=0.30153  lag=1.00718
i=1150  total=1.53394  map=0.29235  lag=1.24159
i=1200  total=1.40652  map=0.28255  lag=1.12397
i=1250  total=1.35491  map=0.22153  lag=1.13338
i=1300  total=1.54301  map=0.23498  lag=1.30803
i=1350  total=1.44593  map=0.21546  lag=1.23047
i=1400  total=1.45845  map=0.2611  lag=1.19735
i=1450  total=1.40408  map=0.24725  lag=1.15683
i=1500  total=1.33491  map=0.22597  lag=1.10894
i=1550  total=1.49051  map=0.26156  lag=1.22895
i=1600  total=1.46262  map=0.26041  lag=1.20221
i=1650  total=1.44198  map=0.26039  lag=1.1816
i=1700  total=1.54211  map=0.33567  lag=1.20644
i=1750  total=1.3954  map=0.27025  lag=1.12515
i=1800  total=1.28348  map=0.17962  lag=1.10386
i=1850  total=1.53769  map=0.35278  lag=1.18491
i=1900  total=1.52936  map=0.22427  lag=1.30509
i=1950  total=1.45208  map=0.28912  lag=1.16297
i=2000  total=1.60836  map=0.34473  lag=1.26363
i=2050  total=1.46128  map=0.29283  lag=1.16845
i=2100  total=1.44232  map=0.24109  lag=1.20123
i=2150  total=1.31642  map=0.2038  lag=1.11263
i=2200  total=1.43184  map=0.22132  lag=1.21052
i=2250  total=1.5438  map=0.29478  lag=1.24902
i=2300  total=1.36839  map=0.25465  lag=1.11374
i=2350  total=1.4666  map=0.28764  lag=1.17896
i=2400  total=1.50657  map=0.33846  lag=1.16811
i=2450  total=1.3146  map=0.21801  lag=1.09659
i=2500  total=1.40602  map=0.26139  lag=1.14464
i=2550  total=1.51901  map=0.36582  lag=1.15318
i=2600  total=1.30288  map=0.27137  lag=1.03151
i=2650  total=1.409  map=0.22697  lag=1.18203
i=2700  total=1.3332  map=0.22508  lag=1.10812
i=2750  total=1.33164  map=0.25822  lag=1.07341
i=2800  total=1.54344  map=0.36781  lag=1.17563
i=2850  total=1.44612  map=0.24717  lag=1.19896
i=2900  total=1.40931  map=0.24571  lag=1.1636
i=2950  total=1.44314  map=0.31681  lag=1.12634
i=3000  total=1.35624  map=0.278  lag=1.07824
i=3050  total=1.37091  map=0.20026  lag=1.17064
i=3100  total=1.22473  map=0.18549  lag=1.03924
i=3150  total=1.46166  map=0.33258  lag=1.12908
i=3200  total=1.39337  map=0.24213  lag=1.15124
i=3250  total=1.36238  map=0.23893  lag=1.12345
i=3300  total=1.69464  map=0.28549  lag=1.40915
i=3350  total=1.27638  map=0.19025  lag=1.08613
i=3400  total=1.49256  map=0.26776  lag=1.22481
i=3450  total=1.29313  map=0.25947  lag=1.03366
i=3500  total=1.40554  map=0.3212  lag=1.08434
i=3550  total=1.48883  map=0.27811  lag=1.21072
i=3600  total=1.37886  map=0.26244  lag=1.11642
i=3650  total=1.43543  map=0.37631  lag=1.05912
i=3700  total=1.37597  map=0.26426  lag=1.11171
i=3750  total=1.34426  map=0.23404  lag=1.11023
i=3800  total=1.26755  map=0.21443  lag=1.05311
i=3850  total=1.19376  map=0.25574  lag=0.93802
i=3900  total=1.38002  map=0.26075  lag=1.11927
i=3950  total=1.38461  map=0.25787  lag=1.12674
i=4000  total=1.50689  map=0.35062  lag=1.15627
GKS: cannot open display - headless operation mode active
